2022-09-22 22:49:41,063: Key.ctrl_l
2022-09-22 22:49:41,298: '\x13'
2022-09-22 22:49:41,845: Key.ctrl_l
2022-09-22 22:49:41,969: '\x01'
2022-09-22 22:49:42,594: Key.delete
2022-09-22 22:49:43,439: Key.ctrl_l
2022-09-22 22:49:43,626: '\x13'
2022-09-22 22:49:44,220: Key.ctrl_l
2022-09-22 22:49:44,423: '\x13'
2022-09-22 22:49:45,107: Key.ctrl_l
2022-09-22 22:49:45,438: '\x13'
2022-09-22 22:49:46,375: Key.ctrl_l
2022-09-22 22:49:46,609: '\x13'
2022-09-22 22:50:05,315: Key.space
2022-09-22 22:50:07,129: Key.right
2022-09-22 22:50:09,178: Key.right
2022-09-22 22:50:19,673: Key.right
2022-09-22 22:50:20,431: Key.right
2022-09-22 22:50:21,918: Key.space
2022-09-22 22:50:25,699: 'g'
2022-09-22 22:50:26,085: 'i'
2022-09-22 22:50:26,320: 't'
2022-09-22 22:50:26,674: Key.space
2022-09-22 22:50:27,326: 'i'
2022-09-22 22:50:27,538: 'n'
2022-09-22 22:50:27,823: 'i'
2022-09-22 22:50:27,989: 't'
2022-09-22 22:50:35,262: Key.enter
2022-09-22 22:50:38,794: 'g'
2022-09-22 22:50:38,988: 'i'
2022-09-22 22:50:39,158: 't'
2022-09-22 22:50:39,316: Key.space
2022-09-22 22:50:39,951: 's'
2022-09-22 22:50:40,120: 't'
2022-09-22 22:50:40,270: 'a'
2022-09-22 22:50:40,470: 't'
2022-09-22 22:50:40,726: 'u'
2022-09-22 22:50:40,872: 's'
2022-09-22 22:50:47,165: Key.enter
2022-09-22 22:50:50,393: Key.space
2022-09-22 22:50:59,282: Key.space
2022-09-22 22:51:02,409: 'g'
2022-09-22 22:51:02,684: 'i'
2022-09-22 22:51:02,899: 't'
2022-09-22 22:51:02,973: Key.ctrl_l
2022-09-22 22:51:04,052: Key.space
2022-09-22 22:51:04,282: '.'
2022-09-22 22:51:04,456: 'a'
2022-09-22 22:51:04,698: 'd'
2022-09-22 22:51:04,856: 'd'
2022-09-22 22:51:05,603: Key.enter
2022-09-22 22:51:11,185: Key.space
2022-09-22 22:51:13,876: Key.space
2022-09-22 22:51:14,553: Key.left
2022-09-22 22:51:21,411: 'g'
2022-09-22 22:51:21,734: 'i'
2022-09-22 22:51:21,933: 't'
2022-09-22 22:51:22,301: Key.space
2022-09-22 22:51:22,663: '.'
2022-09-22 22:51:23,459: 'a'
2022-09-22 22:51:24,078: 'd'
2022-09-22 22:51:24,742: Key.enter
2022-09-22 22:51:31,207: 'g'
2022-09-22 22:51:31,340: 'i'
2022-09-22 22:51:31,536: 't'
2022-09-22 22:51:31,849: Key.space
2022-09-22 22:51:33,128: '.'
2022-09-22 22:51:33,439: 'a'
2022-09-22 22:51:33,710: 'd'
2022-09-22 22:51:33,899: 'd'
2022-09-22 22:51:34,733: Key.enter
2022-09-22 22:51:46,420: 'g'
2022-09-22 22:51:46,589: 'i'
2022-09-22 22:51:46,737: 't'
2022-09-22 22:51:46,952: Key.space
2022-09-22 22:51:47,258: 'a'
2022-09-22 22:51:47,528: 'd'
2022-09-22 22:51:47,693: 'd'
2022-09-22 22:51:47,898: Key.enter
2022-09-22 22:51:55,101: Key.space
2022-09-22 22:51:57,914: Key.space
2022-09-22 22:52:00,709: 'g'
2022-09-22 22:52:01,064: 'i'
2022-09-22 22:52:01,336: 't'
2022-09-22 22:52:01,858: Key.space
